ipo_status;ticker_code;image;company_name;sector;subsector;listing_board;final_price;line_of_business;address;website;number_of_shares_offered;%_of_total_shares;participant_admin.code;participant_admin.name;book_building_opening;book_building_closing;lowest_book_building_price;highest_book_building_price;opening_of_offering_period;closing_of_offering_period;closing_date;distribution_date;listing_date;ara_arb_percentage;underwriters;warrant.code;warrant.per_share_ratio;warrant.exercise_price_(rp);warrant.open;warrant.high;warrant.low;warrant.close;listing_price.open;listing_price.high;listing_price.low;listing_price.close;listing_price.change;listing_price.percentage_change;listing_price.volume;performa.1D;performa.1W;performa.1M;performa.6M;performa.1Y;performa.updated_at;performa.source;fundamental.aset_percentage;fundamental.liabilitas_percentage;fundamental.pendapatan_percentage;fundamental.laba_bersih_percentage;fundamental.updated_at;fundamental.source
Closed;RSGK;;PT Kedoya Adyaraya Tbk;Healthcare;Healthcare Providers;Utama;1720.0;Bergerak di bidang Aktivitas Rumah Sakit Swasta;RS Grha Kedoya Jalan Panjang Arteri No, 26, Kedoya Utara, Kebon Jeruk, Jakarta 11520;https://www.grhahospitals.com;185940000;20.0;RF;BUANA CAPITAL SEKURITAS;12/08/2021;24/08/2021;1500;1750;02/09/2021;06/09/2021;06/09/2021;07/09/2021;08/09/2021;25%;"[{""code"": ""RF"", ""name"": ""BUANA CAPITAL SEKURITAS"", ""percentage"": """"}]";;0.0;;;;;;;2150.0;1820.0;2150.0;430.0;25.00%;2737600.0;25%;14%;-2%;-16%;-25%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;-5%;-23%;-17%;-51%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;IDEA;;PT Idea Indonesia Akademi Tbk;Consumer Cyclicals;Education Services;Akselerasi;140.0;Akademi Pendidikan dan Pelatihan Perhotelan, Kapal Pesiar, Tata Boga dan Restoran Berbasis Industri;18 Office Park Lantai 10 Jalan TB Simatupang Kav, 18, RW,1, Kebagusan, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520;https://www.ideaindonesia.com;212487500;20.0;IU;INDO CAPITAL SEKURITAS;13/08/2021;24/08/2021;120;155;02/09/2021;07/09/2021;07/09/2021;08/09/2021;09/09/2021;35%;"[{""code"": ""IU"", ""name"": ""INDO CAPITAL SEKURITAS"", ""percentage"": """"}]";;0.0;;;;;;154.0;154.0;154.0;154.0;14.0;10.00%;14255400.0;10%;-11%;41%;-50%;-56%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;-4%;-17%;19%;-16%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;SBMA;;PT Surya Biru Murni Acetylene Tbk;Basic Materials;Basic Chemicals;Pengembangan;180.0;Bergerak di Bidang Industri Kimia Anorganik Gas;Jalan Jendral Sudirman No, 5 - 6, Kelurahan Klandasan Ilir, Kecamatan Balikpapan Kota, Kota Balikpapan, Provinsi Kalimantan Timur 76113;https://www.suryabirumurni.co.id;278400000;29.99;HD;KGI SEKURITAS INDONESIA;19/08/2021;23/08/2021;180;230;02/09/2021;06/09/2021;06/09/2021;07/09/2021;08/09/2021;35%;"[{""code"": ""HD"", ""name"": ""KGI SEKURITAS INDONESIA"", ""percentage"": """"}]";SBMA-W;0.166666667;230.0;-;-;-;-;200.0;242.0;200.0;242.0;62.0;34.44%;19118900.0;34%;178%;143%;62%;24%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;8%;29%;17%;-40%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;GTSI;;PT GTS Internasional Tbk;Transportation & Logistic;Logistics & Deliveries;Pemantauan Khusus;100.0;distribusi gas alam dan buatan, transportasi laut dalam negeri dan luar negeri untuk barang khusus;Mangkuluhur City Tower One, lantai 26, Jl, Jend, Gatot Subroto Kav, 1-3 Jakarta 12930, Indonesia;https://gtsi.co.id/;2400000000;15.17;LS;RELIANCE SEKURITAS INDONESIA TBK,;20/08/2021;26/08/2021;100;150;02/09/2021;06/09/2021;06/09/2021;07/09/2021;08/09/2021;35%;"[{""code"": ""LS"", ""name"": ""RELIANCE SEKURITAS INDONESIA TBK"", ""percentage"": """"}]";;0.0;;;;;;93.0;93.0;93.0;93.0;-7.0;-7.00%;81597500.0;-7%;-22%;-26%;-43%;-36%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;-4%;-17%;34%;-143%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;RUNS;;PT Global Sukses Solusi Tbk;Technology;IT Services & Consulting;Akselerasi;254.0;Informasi dan Komunikasi serta Perdagangan Besar & Eceran Piranti Lunak, Komputer & Perlengkapannya;Grha RUN System Jl, Pakuningratan No, 15, Yogyakarta, 55233;https://www.runsystem.id;196800000;20.01;YP;MIRAE ASSET SEKURITAS INDONESIA;20/08/2021;26/08/2021;230;254;02/09/2021;06/09/2021;06/09/2021;07/09/2021;08/09/2021;25%;"[{""code"": ""YP"", ""name"": ""MIRAE ASSET SEKURITAS INDONESIA"", ""percentage"": """"}, {""code"": ""OD"", ""name"": ""BRI DANAREKSA SEKURITAS"", ""percentage"": """"}]";;0.0;;;;;;278.0;278.0;278.0;278.0;24.0;9.45%;4880100.0;9%;58%;84%;-36%;-31%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;24%;685%;534%;-132%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;KUAS;;PT ACE OLDFIELDS TBK;Industrials;Building Products & Fixtures;Pengembangan;195.0;Perseroan Bergerak Dalam Bidang Usaha Produksi Peralatan Dan Perlengkapan Pengecatan;Jl, Raya Cileungsi Jonggol KM 22,5 RT,006 RW,002, Cileungsi, Bogor, 16820;https://www.aceoldfields.com;390000000;30.17;XA;NH KORINDO SEKURITAS INDONESIA;22/09/2021;27/09/2021;195;250;18/10/2021;21/10/2021;21/10/2021;22/10/2021;25/10/2021;35%;"[{""code"": ""XA"", ""name"": ""NH KORINDO SEKURITAS INDONESIA"", ""percentage"": """"}]";KUAS-W;0.333333333;250.0;-;-;-;-;262.0;262.0;262.0;262.0;67.0;34.36%;76419000.0;34%;12%;22%;-62%;-65%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;3%;-2%;10%;27%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;BOBA;;PT Formosa Ingredient Factory Tbk;Consumer Non-Cyclicals;Processed Foods;Pengembangan;280.0;Produksi tapioca pearl, topping jelly, popping boba, premium sauce, syrup dan premix powder;Berlian 88 Biz Estate Blok C No,1 Jl, Diklat Pemda, Kelapa Dua Tangerang – Banten 15810;https://bobaking.co.id/;140000000;12.11;MI;VICTORIA SEKURITAS INDONESIA;05/10/2021;11/10/2021;250;280;26/10/2021;28/10/2021;28/10/2021;29/10/2021;01/11/2021;25%;"[{""code"": ""MI"", ""name"": ""VICTORIA SEKURITAS INDONESIA"", ""percentage"": """"}]";;0.0;;;;;;350.0;350.0;330.0;350.0;70.0;25.00%;65012200.0;25%;10%;-11%;-30%;-31%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;11%;191%;64%;-39%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;MTEL;;PT Dayamitra Telekomunikasi Tbk;Infrastructures;Wireless Telecommunication Services;Utama;800.0;Penyedia Jasa Menara Telekomunikasi;Telkom Landmark Tower Lt, 27 Jl, Gatot Subroto Kavling 52 Jakarta 12710;https://www.mitratel.co.id/;22920512000;27.63;CC;MANDIRI SEKURITAS;26/10/2021;04/11/2021;775;975;16/11/2021;18/11/2021;18/11/2021;19/11/2021;22/11/2021;25%;"[{""code"": ""CC"", ""name"": ""MANDIRI SEKURITAS"", ""percentage"": """"}, {""code"": ""CP"", ""name"": ""KB VALBURY SEKURITAS"", ""percentage"": """"}, {""code"": ""GR"", ""name"": ""PANIN SEKURITAS TBK"", ""percentage"": """"}, {""code"": ""IF"", ""name"": ""SAMUEL SEKURITAS INDONESIA"", ""percentage"": """"}, {""code"": ""IN"", ""name"": ""INVESTINDO NUSANTARA SEKURITAS"", ""percentage"": """"}, {""code"": ""OD"", ""name"": ""BRI DANAREKSA SEKURITAS"", ""percentage"": """"}]";;0.0;;;;;;;890.0;765.0;765.0;-35.0;-4.38%;1379410300.0;-4%;-4%;-4%;-14%;-14%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;-3%;-8%;13%;29%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;WMPP;;PT Widodo Makmur Perkasa Tbk;Consumer Non-Cyclicals;Fish, Meat, & Poultry;Pemantauan Khusus;160.0;Peternakan Sapi & Ayam, Rumah Potong Hewan, Daging & Olahan, Pakan Ternak, Bahan Makanan, Konstruksi;Gedung Graha Widodo Makmur Jalan Raya Cilangkap No, 58, Cilangkap, Cipayung, Jakarta Timur, 13870;https://widodomakmurperkasa.co.id/;4419000000;15.02;SF;SURYA FAJAR SEKURITAS;27/10/2021;09/11/2021;160;220;30/11/2021;02/12/2021;02/12/2021;03/12/2021;06/12/2021;35%;"[{""code"": ""SF"", ""name"": ""SURYA FAJAR SEKURITAS"", ""percentage"": """"}, {""code"": ""CP"", ""name"": ""KB VALBURY SEKURITAS"", ""percentage"": """"}, {""code"": ""IF"", ""name"": ""SAMUEL SEKURITAS INDONESIA"", ""percentage"": """"}, {""code"": ""OD"", ""name"": ""BRI DANAREKSA SEKURITAS"", ""percentage"": """"}, {""code"": ""YP"", ""name"": ""MIRAE ASSET SEKURITAS INDONESIA"", ""percentage"": """"}]";;0.0;;;;;;160.0;161.0;149.0;159.0;-1.0;-0.63%;963121100.0;-1%;-6%;-5%;-23%;-26%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;7%;23%;-30%;-205%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;BINO;;PT Perma Plasindo Tbk;Industrials;Office Supplies;Pengembangan;138.0;Aktivitas perusahaan holding serta produksi dan distribusi alat tulis kantor melalui entitas anak;Jl, Raya Boulevard Barat Blok LC VI No 23, Kelapa Gading Barat, Jakarta Utara, Indonesia 14240;https://www.permaplasindo.co.id/;435000000;20.0;IU;INDO CAPITAL SEKURITAS;28/10/2021;05/11/2021;120;145;18/11/2021;23/11/2021;23/11/2021;24/11/2021;25/11/2021;35%;"[{""code"": ""IU"", ""name"": ""INDO CAPITAL SEKURITAS"", ""percentage"": """"}, {""code"": ""MG"", ""name"": ""SEMESTA INDOVEST SEKURITAS"", ""percentage"": """"}]";BINO-W;0.5;168.0;90;140;41;44;;186.0;155.0;167.0;29.0;21.01%;836817600.0;21%;1%;3%;-4%;-5%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;33%;53%;18%;104%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
